date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:07	104767/104767	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256560320-1993f%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/jquery.themepunch.tools.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/jquery.themepunch.tools.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:07	7364/7364	---MCZ	200	added ('OK')	application/javascript	etag:W/%22560d87f0-1cc4%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.carousel.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.carousel.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:07	249997/249997	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578d6eea-3d08d%22	http://wp1.themexlab.com/html2/edinburgh/assets/masterslider/masterslider.js	wp1.themexlab.com/html2/edinburgh/assets/masterslider/masterslider.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:08	29941/29941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22565871d0-74f5%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:08	6080/6080	---MCZ	200	added ('OK')	application/javascript	etag:W/%225608562e-17c0%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.migration.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.migration.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:08	22958/22958	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256425d2c-59ae%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.navigation.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.navigation.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:09	8042/8042	---MCZ	200	added ('OK')	application/javascript	etag:W/%22565784a6-1f6a%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.parallax.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.parallax.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:09	28128/28128	---MCZ	200	added ('OK')	application/javascript	etag:W/%22564260da-6de0%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:09	20803/20803	---MCZ	200	added ('OK')	application/javascript	etag:W/%225658b60e-5143%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.video.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.video.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:10	23135/23135	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251baa63c-5a5f%22	http://wp1.themexlab.com/html2/edinburgh/assets/fancyapps-fancyBox/source/jquery.fancybox.pack.js	wp1.themexlab.com/html2/edinburgh/assets/fancyapps-fancyBox/source/jquery.fancybox.pack.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:11	10100/10100	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257b7e0c2-2774%22	http://wp1.themexlab.com/html2/edinburgh/js/default-map-script.js	wp1.themexlab.com/html2/edinburgh/js/default-map-script.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:11	86471/86471	---MCZ	200	added ('OK')	application/javascript	etag:W/%22570fc3e0-151c7%22	http://wp1.themexlab.com/html2/edinburgh/assets/scrollbar.js	wp1.themexlab.com/html2/edinburgh/assets/scrollbar.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:12	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%225695df76-1d9ac%22	http://wp1.themexlab.com/html2/edinburgh/assets/bootstrap/css/bootstrap.min.css	wp1.themexlab.com/html2/edinburgh/assets/bootstrap/css/bootstrap.min.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:12	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%225671ce56-6b4a%22	http://wp1.themexlab.com/html2/edinburgh/assets/font-awesome/css/font-awesome.min.css	wp1.themexlab.com/html2/edinburgh/assets/font-awesome/css/font-awesome.min.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
